Afk.;Kolom1;Kolom2;Kolom3;Kolom4;Kolom5;Afkorting;Stationsnaam;Link;;;Stationsnaam;Afkorting;;Afkorting;Lijst voor travelmapping;;;;;;;;Stationsnaam;Afkorting
Sog;50;8559809;5;8714734;;Sog;Schin op Geul;Sog https://www.openstreetmap.org/?lat=50.8559809&lon=5.8714734;;;Schin;Omn;;nm;Nm https://www.openstreetmap.org/?lat=51.8431362&lon=5.8530913;;;;;;;;Schin op Geul;Sog
Vs;51;4440529;3;595722;;Vs;Vlissingen;Vs https://www.openstreetmap.org/?lat=51.4440529&lon=3.595722;;;Vlissingen;Omn;;nmh;Nmh https://www.openstreetmap.org/?lat=51.8267778&lon=5.8679526;;;;;;;;Vlissingen;Vs
Hmbh;51;4706226;5;70137;;Hmbh;Helmond Brouwhuis;Hmbh https://www.openstreetmap.org/?lat=51.4706226&lon=5.70137;;;Tilb;Omn;;mmlh;Mmlh https://www.openstreetmap.org/?lat=51.7665425&lon=5.8789752;;;;;;;;Helmond Brouwhuis;Hmbh
Rsd;51;5403292;4;4584702;;Rsd;Roosendaal;Rsd https://www.openstreetmap.org/?lat=51.5403292&lon=4.4584702;;;;#N/B;;ck;Ck https://www.openstreetmap.org/?lat=51.7266248&lon=5.8741958;;;;;;;;Roosendaal;Rsd
Tbu;51;5652341;5;0516776;;Tbu;Tilburg Universiteit;Tbu https://www.openstreetmap.org/?lat=51.5652341&lon=5.0516776;;;;#N/B;;bmr;Bmr https://www.openstreetmap.org/?lat=51.6444304&lon=5.9395217;;;;;;;;Tilburg Universiteit;Tbu
Gz;51;5840224;4;9242259;;Gz;Gilze-Rijen;Gz https://www.openstreetmap.org/?lat=51.5840224&lon=4.9242259;;;;#N/B;;vlb;Vlb https://www.openstreetmap.org/?lat=51.5920221&lon=5.9970961;;;;;;;;Gilze-Rijen;Gz
Vlb;51;5920221;5;9970961;;Vlb;Vierlingsbeek;Vlb https://www.openstreetmap.org/?lat=51.5920221&lon=5.9970961;;;;#N/B;;vry;Vry https://www.openstreetmap.org/?lat=51.526454&lon=6.0142546;;;;;;;;Vierlingsbeek;Vlb
Bd;51;5951433;4;7800231;;Bd;Breda;Bd https://www.openstreetmap.org/?lat=51.5951433&lon=4.7800231;;;;#N/B;;br;Br https://www.openstreetmap.org/?lat=51.3724162&lon=6.155296;;;;;;;;Breda;Bd
Bmr;51;6444304;5;9395217;;Bmr;Boxmeer;Bmr https://www.openstreetmap.org/?lat=51.6444304&lon=5.9395217;;;;#N/B;;vl;Vl https://www.openstreetmap.org/?lat=51.3650504&lon=6.171433;;;;;;;;Boxmeer;Bmr
Rvs;51;7947915;5;6377036;;Rvs;Ravenstein;Rvs https://www.openstreetmap.org/?lat=51.7947915&lon=5.6377036;;;;#N/B;;tg;Tg https://www.openstreetmap.org/?lat=51.3392858&lon=6.1433761;;;;;;;;Ravenstein;Rvs
Nm;51;8431362;5;8530913;;Nm;Nijmegen;Nm https://www.openstreetmap.org/?lat=51.8431362&lon=5.8530913;;;;#N/B;;rv;Rv https://www.openstreetmap.org/?lat=51.2829798&lon=6.0794073;;;;;;;;Nijmegen;Nm
Est;51;9172427;5;8549331;;Est;Elst;Est https://www.openstreetmap.org/?lat=51.9172427&lon=5.8549331;;;;#N/B;;sm;Sm https://www.openstreetmap.org/?lat=51.2354149&lon=6.0315749;;;;;;;;Elst;Est
Za;51;9197801;5;7233591;;Za;Zetten-Andelst;Za https://www.openstreetmap.org/?lat=51.9197801&lon=5.7233591;;;;#N/B;;rm;Rm https://www.openstreetmap.org/?lat=51.1925659&lon=5.9938511;;;;;;;;Zetten-Andelst;Za
Hmn;51;9224135;5;6736223;;Hmn;Hemmen-Dodewaard;Hmn https://www.openstreetmap.org/?lat=51.9224135&lon=5.6736223;;;;;;;0;;;;;;;;Hemmen-Dodewaard;Hmn
Zv;51;9231973;6;0719818;;Zv;Zevenaar;Zv https://www.openstreetmap.org/?lat=51.9231973&lon=6.0719818;;;;;;;0;;;;;;;;Zevenaar;Zv
Op;51;9260391;5;6374111;;Op;Opheusden;Op https://www.openstreetmap.org/?lat=51.9260391&lon=5.6374111;;;;;;;0;;;;;;;;Opheusden;Op
Dvn;51;9434452;6;0144531;;Dvn;Duiven;Dvn https://www.openstreetmap.org/?lat=51.9434452&lon=6.0144531;;;;;;;0;;;;;;;;Duiven;Dvn
Ah;51;9844332;5;9011598;;Ah;Arnhem Centraal;Ah https://www.openstreetmap.org/?lat=51.9844332&lon=5.9011598;;;;;;;0;;;;;;;;Arnhem Centraal;Ah
Ahp;51;9851244;5;9199033;;Ahp;Arnhem Velperpoort;Ahp https://www.openstreetmap.org/?lat=51.9851244&lon=5.9199033;;;;;;;0;;;;;;;;Arnhem Velperpoort;Ahp
Wf;52;0056717;5;7923944;;Wf;Wolfheze;Wf https://www.openstreetmap.org/?lat=52.0056717&lon=5.7923944;;;;;;;0;;;;;;;;Wolfheze;Wf
Ed;52;0277348;5;6722729;;Ed;Ede-Wageningen;Ed https://www.openstreetmap.org/?lat=52.0277348&lon=5.6722729;;;;;;;0;;;;;;;;Ede-Wageningen;Ed
Vndw;52;0281017;5;5315679;;Vndw;Veenendaal West;Vndw https://www.openstreetmap.org/?lat=52.0281017&lon=5.5315679;;;;;;;0;;;;;;;;Veenendaal West;Vndw
Utln;52;0664082;5;1432619;;Utln;Utrecht Lunetten;Utln https://www.openstreetmap.org/?lat=52.0664082&lon=5.1432619;;;;;;;0;;;;;;;;Utrecht Lunetten;Utln
Ut;52;0893925;5;109821;;Ut;Utrecht Centraal;Ut https://www.openstreetmap.org/?lat=52.0893925&lon=5.109821;;;;;;;0;;;;;;;;Utrecht Centraal;Ut
Bmn;52;0907483;6;147059;;Bmn;Brummen;Bmn https://www.openstreetmap.org/?lat=52.0907483&lon=6.147059;;;;;;;0;;;;;;;;Brummen;Bmn
Utt;52;1002155;5;0435521;;Utt;Utrecht Terwijde;Utt https://www.openstreetmap.org/?lat=52.1002155&lon=5.0435521;;;;;;;0;;;;;;;;Utrecht Terwijde;Utt
Mas;52;135947;5;0330252;;Mas;Maarssen;Mas https://www.openstreetmap.org/?lat=52.135947&lon=5.0330252;;;;;;;0;;;;;;;;Maarssen;Mas
Amf;52;153898;5;3740976;;Amf;Amersfoort Centraal;Amf https://www.openstreetmap.org/?lat=52.153898&lon=5.3740976;;;;;;;0;;;;;;;;Amersfoort Centraal;Amf
Gbr;52;218722;6;9742518;;Gbr;Glanerbrug;Gbr https://www.openstreetmap.org/?lat=52.218722&lon=6.9742518;;;;;;;0;;;;;;;;Glanerbrug;Gbr
Esk;52;237419;6;8387936;;Esk;Enschede Kennispark;Esk https://www.openstreetmap.org/?lat=52.237419&lon=6.8387936;;;;;;;0;;;;;;;;Enschede Kennispark;Esk
Nvp;52;2588593;4;6453582;;Nvp;Nieuw Vennep;Nvp https://www.openstreetmap.org/?lat=52.2588593&lon=4.6453582;;;;;;;0;;;;;;;;Nieuw Vennep;Nvp
Hgl;52;2617754;6;7949086;;Hgl;Hengelo;Hgl https://www.openstreetmap.org/?lat=52.2617754&lon=6.7949086;;;;;;;0;;;;;;;;Hengelo;Hgl
Hglo;52;2690072;6;8197673;;Hglo;Hengelo Oost;Hglo https://www.openstreetmap.org/?lat=52.2690072&lon=6.8197673;;;;;;;0;;;;;;;;Hengelo Oost;Hglo
Odz;52;3062438;6;9340349;;Odz;Oldenzaal;Odz https://www.openstreetmap.org/?lat=52.3062438&lon=6.9340349;;;;;;;0;;;;;;;;Oldenzaal;Odz
Shl;52;309523;4;7621813;;Shl;Schiphol Airport;Shl https://www.openstreetmap.org/?lat=52.309523&lon=4.7621813;;;;;;;0;;;;;;;;Schiphol Airport;Shl
Dmz;52;3302613;4;9560598;;Dmz;Diemen Zuid;Dmz https://www.openstreetmap.org/?lat=52.3302613&lon=4.9560598;;;;;;;0;;;;;;;;Diemen Zuid;Dmz
Almp;52;376736;5;2447045;;Almp;Almere Parkwijk;Almp https://www.openstreetmap.org/?lat=52.376736&lon=5.2447045;;;;;;;0;;;;;;;;Almere Parkwijk;Almp
Wh;52;3909959;6;1410453;;Wh;Wijhe;Wh https://www.openstreetmap.org/?lat=52.3909959&lon=6.1410453;;;;;;;0;;;;;;;;Wijhe;Wh
Almb;52;3941912;5;2779576;;Almb;Almere Buiten;Almb https://www.openstreetmap.org/?lat=52.3941912&lon=5.2779576;;;;;;;0;;;;;;;;Almere Buiten;Almb
Lls;52;5079328;5;4727185;;Lls;Lelystad Centrum;Lls https://www.openstreetmap.org/?lat=52.5079328&lon=5.4727185;;;;;;;0;;;;;;;;Lelystad Centrum;Lls
Hn;52;6450893;5;0546461;;Hn;Hoorn;Hn https://www.openstreetmap.org/?lat=52.6450893&lon=5.0546461;;;;;;;0;;;;;;;;Hoorn;Hn
Hnk;52;6533353;5;0849124;;Hnk;Hoorn Kersenboogerd;Hnk https://www.openstreetmap.org/?lat=52.6533353&lon=5.0849124;;;;;;;0;;;;;;;;Hoorn Kersenboogerd;Hnk
Co;52;6630362;6;7360253;;Co;Coevorden;Co https://www.openstreetmap.org/?lat=52.6630362&lon=6.7360253;;;;;;;0;;;;;;;;Coevorden;Co
Bkg;52;6950724;5;2363181;;Bkg;Bovenkarspel-Grootebroek;Bkg https://www.openstreetmap.org/?lat=52.6950724&lon=5.2363181;;;;;;;0;;;;;;;;Bovenkarspel-Grootebroek;Bkg
Ekz;52;69956;5;287993;;Ekz;Enkhuizen;Ekz https://www.openstreetmap.org/?lat=52.69956&lon=5.287993;;;;;;;0;;;;;;;;Enkhuizen;Ekz
Hdr;52;9568469;4;7606663;;Hdr;Den Helder;Hdr https://www.openstreetmap.org/?lat=52.9568469&lon=4.7606663;;;;;;;0;;;;;;;;Den Helder;Hdr
Skn;52;996217;6;9356835;;Skn;Stadskanaal;Skn https://www.openstreetmap.org/?lat=52.996217&lon=6.9356835;;;;;;;;;;;;;;;Stadskanaal;Skn
Lw;53;1964772;5;7929849;;Lw;Leeuwarden;Lw https://www.openstreetmap.org/?lat=53.1964772&lon=5.7929849;;;;;;;;;;;;;;;Leeuwarden;Lw
Apg;53;3257678;6;862006;;Apg;Appingedam;Apg https://www.openstreetmap.org/?lat=53.3257678&lon=6.862006;;;;;;;;;;;;;;;Appingedam;Apg
FDD;50;8918988;4;0714017;;FDD;Denderleeuw;FDD https://www.openstreetmap.org/?lat=50.8918988&lon=4.0714017;;;;;;;;;;;;;;;Denderleeuw;FDD
FDN;50;8513926;3;6015721;;FDN;Oudenaarde;FDN https://www.openstreetmap.org/?lat=50.8513926&lon=3.6015721;;;;;;;;;;;;;;;Oudenaarde;FDN
Tpsw;51;8736724;5;3918894;;Tpsw;Tiel Passewaaij;Tpsw https://www.openstreetmap.org/?lat=51.8736724&lon=5.3918894;;;;;;;;;;;;;;;Tiel Passewaaij;Tpsw
Vtn;52;1029729;5;0076189;;Vtn;Vleuten;Vtn https://www.openstreetmap.org/?lat=52.1029729&lon=5.0076189;;;;;;;;;;;;;;;Vleuten;Vtn
Asdh;52;2979886;4;9601712;;Asdh;Amsterdam Holendrecht;Asdh https://www.openstreetmap.org/?lat=52.2979886&lon=4.9601712;;;;;;;;;;;;;;;Amsterdam Holendrecht;Asdh
FKLO;51;1807831;3;5753588;;FKLO;Eeklo;FKLO https://www.openstreetmap.org/?lat=51.1807831&lon=3.5753588;;;;;;;;;;;;;;;Eeklo;FKLO
Ahz;51;9544945;5;8519491;;Ahz;Arnhem Zuid;Ahz https://www.openstreetmap.org/?lat=51.9544945&lon=5.8519491;;;;;;;;;;;;;;;Arnhem Zuid;Ahz
FNZD;51;1975154;4;3909499;;FNZD;Antwerpen-Zuid;FNZD https://www.openstreetmap.org/?lat=51.1975154&lon=4.3909499;;;;;;;;;;;;;;;Antwerpen-Zuid;FNZD
IDDGM;50;8770138;4;0686554;;IDDGM;Iddergem;IDDGM https://www.openstreetmap.org/?lat=50.8770138&lon=4.0686554;;;;;;;;;;;;;;;Iddergem;IDDGM
0;51;2744597;7;2222744;;;;;;;;;;;;;;;;;;;Tiel;Tl
Tl;51;8896753;5;4232131;;Tl;Tiel;Tl https://www.openstreetmap.org/?lat=51.8896753&lon=5.4232131;;;;;;;;;;;;;;;Almere Oostvaarders;Almo
Almo;52;4032804;5;3006021;;Almo;Almere Oostvaarders;Almo https://www.openstreetmap.org/?lat=52.4032804&lon=5.3006021;;;;;;;;;;;;;;;Wijchen;Wc
Wc;51;8112191;5;7297547;;Wc;Wijchen;Wc https://www.openstreetmap.org/?lat=51.8112191&lon=5.7297547;;;;;;;;;;;;;;;Aalst;FLS
FLS;50;9426871;4;0391618;;FLS;Aalst;FLS https://www.openstreetmap.org/?lat=50.9426871&lon=4.0391618;;;;;;;;;;;;;;;Dronten;Dron
Dron;52;5343316;5;7215719;;Dron;Dronten;Dron https://www.openstreetmap.org/?lat=52.5343316&lon=5.7215719;;;;;;;;;;;;;;;Geldrop;Gp
Gp;51;420289;5;5502017;;Gp;Geldrop;Gp https://www.openstreetmap.org/?lat=51.420289&lon=5.5502017;;;;;;;;;;;;;;;Ingelmunster;FNM
FNM;50;9139858;3;2554117;;FNM;Ingelmunster;FNM https://www.openstreetmap.org/?lat=50.9139858&lon=3.2554117;;;;;;;;;;;;;;;Bareveld;Brv
Brv;53;0535756;6;850223;;Brv;Bareveld;Brv https://www.openstreetmap.org/?lat=53.0535756&lon=6.850223;;;;;;;;;;;;;;;Veendam;Vdm
Vdm;53;1039225;6;8849785;;Vdm;Veendam;Vdm https://www.openstreetmap.org/?lat=53.1039225&lon=6.8849785;;;;;;;;;;;;;;;Zeebrugge-Dorp;LZE
LZE;51;326422;3;1948891;;LZE;Zeebrugge-Dorp;LZE https://www.openstreetmap.org/?lat=51.326422&lon=3.1948891;;;;;;;;;;;;;;;Rosmalen;Rs
Rs;51;7151523;5;369582;;Rs;Rosmalen;Rs https://www.openstreetmap.org/?lat=51.7151523&lon=5.369582;;;;;;;;;;;;;;;Groningen;Gn
Gn;53;2109237;6;5641028;;Gn;Groningen;Gn https://www.openstreetmap.org/?lat=53.2109237&lon=6.5641028;;;;;;;;;;;;;;;Okegem;FKO
FKO;50;856544;4;0536641;;FKO;Okegem;FKO https://www.openstreetmap.org/?lat=50.856544&lon=4.0536641;;;;;;;;;;;;;;;Utrecht Vaartsche Rijn;Utvr
Utvr;52;0787573;5;1218783;;Utvr;Utrecht Vaartsche Rijn;Utvr https://www.openstreetmap.org/?lat=52.0787573&lon=5.1218783;;;;;;;;;;;;;;;Houten Castellum;Htnc
Htnc;52;0168609;5;1794728;;Htnc;Houten Castellum;Htnc https://www.openstreetmap.org/?lat=52.0168609&lon=5.1794728;;;;;;;;;;;;;;;Heerlen;Hrl
Hrl;50;8908484;5;9751061;;Hrl;Heerlen;Hrl https://www.openstreetmap.org/?lat=50.8908484&lon=5.9751061;;;;;;;;;;;;;;;Susteren;Srn
Srn;51;0609667;5;8629282;;Srn;Susteren;Srn https://www.openstreetmap.org/?lat=51.0609667&lon=5.8629282;;;;;;;;;;;;;;;Kapellen;LKP
LKP;51;3134658;4;4327583;;LKP;Kapellen;LKP https://www.openstreetmap.org/?lat=51.3134658&lon=4.4327583;;;;;;;;;;;;;;;Westervoort;Wtv
Wtv;51;9629903;5;9692518;;Wtv;Westervoort;Wtv https://www.openstreetmap.org/?lat=51.9629903&lon=5.9692518;;;;;;;;;;;;;;;Schendelbeke;FED
FED;50;7979479;3;8997223;;FED;Schendelbeke;FED https://www.openstreetmap.org/?lat=50.7979479&lon=3.8997223;;;;;;;;;;;;;;;Sassenheim;Ssh
Ssh;52;2152104;4;5169358;;Ssh;Sassenheim;Ssh https://www.openstreetmap.org/?lat=52.2152104&lon=4.5169358;;;;;;;;;;;;;;;Enschede De Eschmarke;Ese
Ese;52;2212722;6;9514664;;Ese;Enschede De Eschmarke;Ese https://www.openstreetmap.org/?lat=52.2212722&lon=6.9514664;;;;;;;;;;;;;;;Aarsele;FAR
FAR;50;9845;3;4185022;;FAR;Aarsele;FAR https://www.openstreetmap.org/?lat=50.9845&lon=3.4185022;;;;;;;;;;;;;;;Halfweg-Zwanenburg;Hwzb
Hwzb;52;3859763;4;7468736;;Hwzb;Halfweg-Zwanenburg;Hwzb https://www.openstreetmap.org/?lat=52.3859763&lon=4.7468736;;;;;;;;;;;;;;;Blankenberge;FBK
FBK;51;3123397;3;1339182;;FBK;Blankenberge;FBK https://www.openstreetmap.org/?lat=51.3123397&lon=3.1339182;;;;;;;;;;;;;;;Utrecht Maliebaan;Utm
Utm;52;0879425;5;1311656;;Utm;Utrecht Maliebaan;Utm https://www.openstreetmap.org/?lat=52.0879425&lon=5.1311656;;;;;;;;;;;;;;;Eys-Wittem;Wtm
Wtm;50;8231923;5;9246943;;Wtm;Eys-Wittem;Wtm https://www.openstreetmap.org/?lat=50.8231923&lon=5.9246943;;;;;;;;;;;;;;;Alphen aan den Rijn;Apn
Apn;52;1248061;4;6571053;;Apn;Alphen aan den Rijn;Apn https://www.openstreetmap.org/?lat=52.1248061&lon=4.6571053;;;;;;;;;;;;;;;Meerssen;Mes
Mes;50;8827737;5;7506465;;Mes;Meerssen;Mes https://www.openstreetmap.org/?lat=50.8827737&lon=5.7506465;;;;;;;;;;;;;;;Schinnen;Sn
Sn;50;9390309;5;8745796;;Sn;Schinnen;Sn https://www.openstreetmap.org/?lat=50.9390309&lon=5.8745796;;;;;;;;;;;;;;;Neerpelt;LNP
LNP;51;2218575;5;4372387;;LNP;Neerpelt;LNP https://www.openstreetmap.org/?lat=51.2218575&lon=5.4372387;;;;;;;;;;;;;;;Almere Poort;Ampo
Ampo;52;3429466;5;1522517;;Ampo;Almere Poort;Ampo https://www.openstreetmap.org/?lat=52.3429466&lon=5.1522517;;;;;;;;;;;;;;;Eichem;EICHM
EICHM;50;8241716;3;9939848;;EICHM;Eichem;EICHM https://www.openstreetmap.org/?lat=50.8241716&lon=3.9939848;;;;;;;;;;;;;;;Idegem;FID
FID;50;8013874;3;9203974;;FID;Idegem;FID https://www.openstreetmap.org/?lat=50.8013874&lon=3.9203974;;;;;;;;;;;;;;;Wijlre-Gulpen;Wij
Wij;50;8330395;5;8980547;;Wij;Wijlre-Gulpen;Wij https://www.openstreetmap.org/?lat=50.8330395&lon=5.8980547;;;;;;;;;;;;;;;Simpelveld;Spv
Spv;50;8315487;5;9784646;;Spv;Simpelveld;Spv https://www.openstreetmap.org/?lat=50.8315487&lon=5.9784646;;;;;;;;;;;;;;;Bocholtz;Bch
Bch;50;8170574;6;0055661;;Bch;Bocholtz;Bch https://www.openstreetmap.org/?lat=50.8170574&lon=6.0055661;;;;;;;;;;;;;;;Kerkrade ZLSM;Krd
0;50;8125505;6;0423499;;;;;;;;;;;;;;;;;;;Spekholzerheide;Sph
Krd;50;8590632;6;0566467;;Krd;Kerkrade ZLSM;Krd https://www.openstreetmap.org/?lat=50.8590632&lon=6.0566467;;;;;;;;;;;;;;;Beekbergen;Bbg
Sph;50;8530213;6;0239821;;Sph;Spekholzerheide;Sph https://www.openstreetmap.org/?lat=50.8530213&lon=6.0239821;;;;;;;;;;;;;;;Loenen;Lnn
Bbg;52;1599795;5;9866783;;Bbg;Beekbergen;Bbg https://www.openstreetmap.org/?lat=52.1599795&lon=5.9866783;;;;;;;;;;;;;;;Apeldoorn;Apd
0;52;1482881;6;003991;;;;;;;;;;;;;;;;;;;Herentals;FHT
Lnn;52;1293679;6;0293573;;Lnn;Loenen;Lnn https://www.openstreetmap.org/?lat=52.1293679&lon=6.0293573;;;;;;;;;;;;;;;Tilburg Reeshof;Tbr
Apd;52;2089862;5;9697859;;Apd;Apeldoorn;Apd https://www.openstreetmap.org/?lat=52.2089862&lon=5.9697859;;;;;;;;;;;;;;;'s-Gravenpolder-'s-Heer Abtskerke;Gha
FHT;51;1809816;4;828734;;FHT;Herentals;FHT https://www.openstreetmap.org/?lat=51.1809816&lon=4.828734;;;;;;;;;;;;;;;Kwadendamme;Kdm
Tbr;51;573665;4;9934935;;Tbr;Tilburg Reeshof;Tbr https://www.openstreetmap.org/?lat=51.573665&lon=4.9934935;;;;;;;;;;;;;;;Hoedekenskerke;Hkk
Gha;51;4620883;3;892375;;Gha;'s-Gravenpolder-'s-Heer Abtskerke;Gha https://www.openstreetmap.org/?lat=51.4620883&lon=3.892375;;;;;;;;;;;;;;;Wildervank;Wdv
Kdm;51;4409246;3;8891869;;Kdm;Kwadendamme;Kdm https://www.openstreetmap.org/?lat=51.4409246&lon=3.8891869;;;;;;;;;;;;;;;Barneveld Centrum;Bnc
Hkk;51;4206086;3;9137769;;Hkk;Hoedekenskerke;Hkk https://www.openstreetmap.org/?lat=51.4206086&lon=3.9137769;;;;;;;;;;;;;;;Dieren;Dr
0;50;705009;6;180624;;;;;;;;;;;;;;;;;;;Anna Paulowna;Ana
Wdv;53;0838251;6;8707393;;Wdv;Wildervank;Wdv https://www.openstreetmap.org/?lat=53.0838251&lon=6.8707393;;;;;;;;;;;;;;;Lichtenvoorde-Groenlo;Ltv
Bnc;52;1404556;5;5897695;;Bnc;Barneveld Centrum;Bnc https://www.openstreetmap.org/?lat=52.1404556&lon=5.5897695;;;;;;;;;;;;;;;Gorinchem;Gr
Dr;52;0454027;6;1033427;;Dr;Dieren;Dr https://www.openstreetmap.org/?lat=52.0454027&lon=6.1033427;;;;;;;;;;;;;;;Hoogkarspel;Hks
Ana;52;867721;4;811522;;Ana;Anna Paulowna;Ana https://www.openstreetmap.org/?lat=52.867721&lon=4.811522;;;;;;;;;;;;;;;Haren;Hrn
Ltv;52;0122561;6;5950987;;Ltv;Lichtenvoorde-Groenlo;Ltv https://www.openstreetmap.org/?lat=52.0122561&lon=6.5950987;;;;;;;;;;;;;;;Valkenburg;Vk
Gr;51;8335723;4;9674612;;Gr;Gorinchem;Gr https://www.openstreetmap.org/?lat=51.8335723&lon=4.9674612;;;;;;;;;;;;;;;Harderwijk;Hd
Hks;52;690467;5;1825103;;Hks;Hoogkarspel;Hks https://www.openstreetmap.org/?lat=52.690467&lon=5.1825103;;;;;;;;;;;;;;;Ermelo;Eml
Hrn;53;174863;6;6180871;;Hrn;Haren;Hrn https://www.openstreetmap.org/?lat=53.174863&lon=6.6180871;;;;;;;;;;;;;;;Helmond 't Hout;Hmh
Vk;50;8692901;5;8328817;;Vk;Valkenburg;Vk https://www.openstreetmap.org/?lat=50.8692901&lon=5.8328817;;;;;;;;;;;;;;;Eerbeek;Ebk
Hd;52;3377999;5;6199961;;Hd;Harderwijk;Hd https://www.openstreetmap.org/?lat=52.3377999&lon=5.6199961;;;;;;;;;;;;;;;Helmond;Hm
Eml;52;3011045;5;6144134;;Eml;Ermelo;Eml https://www.openstreetmap.org/?lat=52.3011045&lon=5.6144134;;;;;;;;;;;;;;;Oss West;Ow
Hmh;51;4681099;5;6312015;;Hmh;Helmond 't Hout;Hmh https://www.openstreetmap.org/?lat=51.4681099&lon=5.6312015;;;;;;;;;;;;;;;Houten;Htn
Ebk;52;1027606;6;0662863;;Ebk;Eerbeek;Ebk https://www.openstreetmap.org/?lat=52.1027606&lon=6.0662863;;;;;;;;;;;;;;;Zoutindustrie;Bkb
Hm;51;4755665;5;6616714;;Hm;Helmond;Hm https://www.openstreetmap.org/?lat=51.4755665&lon=5.6616714;;;;;;;;;;;;;;;Haaksbergen;Hbg
Ow;51;7584414;5;5069444;;Ow;Oss West;Ow https://www.openstreetmap.org/?lat=51.7584414&lon=5.5069444;;;;;;;;;;;;;;;Boekelo;Bko
Htn;52;0340078;5;1681345;;Htn;Houten;Htn https://www.openstreetmap.org/?lat=52.0340078&lon=5.1681345;;;;;;;;;;;;;;;Lichtervelde;FLC
Bkb;52;1917806;6;7853221;;Bkb;Zoutindustrie;Bkb https://www.openstreetmap.org/?lat=52.1917806&lon=6.7853221;;;;;;;;;;;;;;;Waregem;FVG
Hbg;52;1584703;6;7381799;;Hbg;Haaksbergen;Hbg https://www.openstreetmap.org/?lat=52.1584703&lon=6.7381799;;;;;;;;;;;;;;;Wetteren;FVT
Bko;52;2048225;6;8008997;;Bko;Boekelo;Bko https://www.openstreetmap.org/?lat=52.2048225&lon=6.8008997;;;;;;;;;;;;;;;Beervelde;FVB
FLC;51;0252191;3;1268061;;FLC;Lichtervelde;FLC https://www.openstreetmap.org/?lat=51.0252191&lon=3.1268061;;;;;;;;;;;;;;;Etten-Leur;Etn
