Afk.;Kolom1;Kolom2;Kolom3;Kolom4;Kolom5;Afkorting;Stationsnaam;Link;;;Stationsnaam;Afkorting;;Afkorting;Lijst voor travelmapping;;;;;;;;Stationsnaam;Afkorting
Egh;50;8901122;6;0456023;;Egh;Eygelshoven;Egh https://www.openstreetmap.org/?lat=50.8901122&lon=6.0456023;;;;;;;;;;;;;;;Kapelle-op-den-Bos;FKP
Cvm;50;8762291;6;0595563;;Cvm;Chevremont;Cvm https://www.openstreetmap.org/?lat=50.8762291&lon=6.0595563;;;;;;;;;;;;;;;Wichelen;FNW
FIZ;51;0087257;4;5134363;;FIZ;Muizen;FIZ https://www.openstreetmap.org/?lat=51.0087257&lon=4.5134363;;;;;;;;;;;;;;;Schoonaarde;FAD
0;50;9974238;4;5383593;;;;;;;;;;;;;;;;;;;Oudegem;FDM
FRA;51;0193803;4;1540216;;FRA;Baasrode-Zuid;FRA https://www.openstreetmap.org/?lat=51.0193803&lon=4.1540216;;;;;;;;;;;;;;;Zwolle Stadshagen;Zlsh
FMD;51;0144035;4;2286648;;FMD;Malderen;FMD https://www.openstreetmap.org/?lat=51.0144035&lon=4.2286648;;;;;;;;;;;;;;;Delft Campus;Dtcp
FZL;51;0092413;4;2980562;;FZL;Londerzeel;FZL https://www.openstreetmap.org/?lat=51.0092413&lon=4.2980562;;;;;;;;;;;;;;;Bergen op Zoom;Bgn
FKP;51;0108251;4;3590564;;FKP;Kapelle-op-den-Bos;FKP https://www.openstreetmap.org/?lat=51.0108251&lon=4.3590564;;;;;;;;;;;;;;;Naarden-Bussum;Ndb
FNW;51;0018607;3;970305;;FNW;Wichelen;FNW https://www.openstreetmap.org/?lat=51.0018607&lon=3.970305;;;;;;;;;;;;;;;Soestdijk;Sd
FAD;51;0031806;4;0115346;;FAD;Schoonaarde;FAD https://www.openstreetmap.org/?lat=51.0031806&lon=4.0115346;;;;;;;;;;;;;;;Martenshoek;Mth
FDM;51;0150135;4;0637076;;FDM;Oudegem;FDM https://www.openstreetmap.org/?lat=51.0150135&lon=4.0637076;;;;;;;;;;;;;;;Kropswolde;Kw
Zlsh;52;5278636;6;0512888;;Zlsh;Zwolle Stadshagen;Zlsh https://www.openstreetmap.org/?lat=52.5278636&lon=6.0512888;;;;;;;;;;;;;;;Wierden;Wdn
0;50;7673077;4;3543663;;;;;;;;;;;;;;;;;;;Vroomshoop;Vhp
Dtcp;51;9911036;4;3646868;;Dtcp;Delft Campus;Dtcp https://www.openstreetmap.org/?lat=51.9911036&lon=4.3646868;;;;;;;;;;;;;;;Rijssen;Rsn
Bgn;51;4947862;4;2961899;;Bgn;Bergen op Zoom;Bgn https://www.openstreetmap.org/?lat=51.4947862&lon=4.2961899;;;;;;;;;;;;;;;Beek-Elsloo;Bk
Ndb;52;280646;5;1571557;;Ndb;Naarden-Bussum;Ndb https://www.openstreetmap.org/?lat=52.280646&lon=5.1571557;;;;;;;;;;;;;;;Maastricht Randwyck;Mtr
Sd;52;1838566;5;2999111;;Sd;Soestdijk;Sd https://www.openstreetmap.org/?lat=52.1838566&lon=5.2999111;;;;;;;;;;;;;;;Hoensbroek;Hb
Mth;53;1608102;6;7405089;;Mth;Martenshoek;Mth https://www.openstreetmap.org/?lat=53.1608102&lon=6.7405089;;;;;;;;;;;;;;;Beernem;LBM
Kw;53;1615882;6;7229343;;Kw;Kropswolde;Kw https://www.openstreetmap.org/?lat=53.1615882&lon=6.7229343;;;;;;;;;;;;;;;Maria-Aalter;FIA
Wdn;52;36154;6;5921524;;Wdn;Wierden;Wdn https://www.openstreetmap.org/?lat=52.36154&lon=6.5921524;;;;;;;;;;;;;;;Oostkamp;FPO
Vhp;52;457312;6;5696271;;Vhp;Vroomshoop;Vhp https://www.openstreetmap.org/?lat=52.457312&lon=6.5696271;;;;;;;;;;;;;;;Geraardsbergen;FGRA
Rsn;52;3117493;6;5192167;;Rsn;Rijssen;Rsn https://www.openstreetmap.org/?lat=52.3117493&lon=6.5192167;;;;;;;;;;;;;;;Viane-Moerbeke;FKV
Bk;50;9477918;5;7872368;;Bk;Beek-Elsloo;Bk https://www.openstreetmap.org/?lat=50.9477918&lon=5.7872368;;;;;;;;;;;;;;;Galmaarden;FGM
Mtr;50;8376341;5;7176213;;Mtr;Maastricht Randwyck;Mtr https://www.openstreetmap.org/?lat=50.8376341&lon=5.7176213;;;;;;;;;;;;;;;Lierde;FRD
Hb;50;9055737;5;9302573;;Hb;Hoensbroek;Hb https://www.openstreetmap.org/?lat=50.9055737&lon=5.9302573;;;;;;;;;;;;;;;Moortsele;FZM
LBM;51;1281383;3;3294877;;LBM;Beernem;LBM https://www.openstreetmap.org/?lat=51.1281383&lon=3.3294877;;;;;;;;;;;;;;;Scheldewindeke;FSK
0;50;7513636;4;258435;;;;;;;;;;;;;;;;;;;Antwerpen-Noorderdokken;AND
FIA;51;1081407;3;3851815;;FIA;Maria-Aalter;FIA https://www.openstreetmap.org/?lat=51.1081407&lon=3.3851815;;;;;;;;;;;;;;;Antwerpen-Luchtbal;LB
FPO;51;154378;3;2573187;;FPO;Oostkamp;FPO https://www.openstreetmap.org/?lat=51.154378&lon=3.2573187;;;;;;;;;;;;;;;Munkzwalm;MNK
0;50;7337393;4;2404904;;;;;;;;;;;;;;;;;;;Sint-Denijs-Boekel;FNZ
FGRA;50;7702738;3;8722631;;FGRA;Geraardsbergen;FGRA https://www.openstreetmap.org/?lat=50.7702738&lon=3.8722631;;;;;;;;;;;;;;;Welle;WELLE
FKV;50;7519469;3;9168241;;FKV;Viane-Moerbeke;FKV https://www.openstreetmap.org/?lat=50.7519469&lon=3.9168241;;;;;;;;;;;;;;;Ronse;FRN
FGM;50;7435765;3;9665491;;FGM;Galmaarden;FGM https://www.openstreetmap.org/?lat=50.7435765&lon=3.9665491;;;;;;;;;;;;;;;Zingem;FZG
FRD;50;8159154;3;82699;;FRD;Lierde;FRD https://www.openstreetmap.org/?lat=50.8159154&lon=3.82699;;;;;;;;;;;;;;;Eine;FEI
FZM;50;9533141;3;7811778;;FZM;Moortsele;FZM https://www.openstreetmap.org/?lat=50.9533141&lon=3.7811778;;;;;;;;;;;;;;;Eke-Nazareth;FKE
FSK;50;9369041;3;7779584;;FSK;Scheldewindeke;FSK https://www.openstreetmap.org/?lat=50.9369041&lon=3.7779584;;;;;;;;;;;;;;;Gavere-Asper;FGA
AND;51;2613868;4;4277621;;AND;Antwerpen-Noorderdokken;AND https://www.openstreetmap.org/?lat=51.2613868&lon=4.4277621;;;;;;;;;;;;;;;Sint-Katelijne-Waver;FWA
LB;51;244358;4;4248923;;LB;Antwerpen-Luchtbal;LB https://www.openstreetmap.org/?lat=51.244358&lon=4.4248923;;;;;;;;;;;;;;;Mechelen-Nekkerspoel;LNK
MNK;50;8755481;3;7329879;;MNK;Munkzwalm;MNK https://www.openstreetmap.org/?lat=50.8755481&lon=3.7329879;;;;;;;;;;;;;;;Driebergen-Zeist;Db
FNZ;50;8742259;3;6984967;;FNZ;Sint-Denijs-Boekel;FNZ https://www.openstreetmap.org/?lat=50.8742259&lon=3.6984967;;;;;;;;;;;;;;;Mortsel-Deurnesteenweg;GMOD
WELLE;50;9030844;4;0508129;;WELLE;Welle;WELLE https://www.openstreetmap.org/?lat=50.9030844&lon=4.0508129;;;;;;;;;;;;;;;Antwerpen-Berchem;FCV
FRN;50;7422548;3;6017789;;FRN;Ronse;FRN https://www.openstreetmap.org/?lat=50.7422548&lon=3.6017789;;;;;;;;;;;;;;;Hoevelaken;Hvl
FZG;50;9080352;3;6463103;;FZG;Zingem;FZG https://www.openstreetmap.org/?lat=50.9080352&lon=3.6463103;;;;;;;;;;;;;;;Tielt;FTT
FEI;50;8704188;3;6237478;;FEI;Eine;FEI https://www.openstreetmap.org/?lat=50.8704188&lon=3.6237478;;;;;;;;;;;;;;;Torhout;FRT
FKE;50;9609583;3;6278379;;FKE;Eke-Nazareth;FKE https://www.openstreetmap.org/?lat=50.9609583&lon=3.6278379;;;;;;;;;;;;;;;Sint-Gillis;FSI
FGA;50;9292029;3;6400103;;FGA;Gavere-Asper;FGA https://www.openstreetmap.org/?lat=50.9292029&lon=3.6400103;;;;;;;;;;;;;;;Mortsel-Liersesteenweg;GMOL
0;50;7669177;4;3029618;;;;;;;;;;;;;;;;;;;Mortsel;GMO
0;50;751709;4;2659694;;;;;;;;;;;;;;;;;;;Hofstade;FHF
0;50;9586694;4;4577402;;;;;;;;;;;;;;;;;;;Bornem;LOB
0;50;9081115;4;4176319;;;;;;;;;;;;;;;;;;;Temse;FTS
FWA;51;0706591;4;4958343;;FWA;Sint-Katelijne-Waver;FWA https://www.openstreetmap.org/?lat=51.0706591&lon=4.4958343;;;;;;;;;;;;;;;Ruisbroek-Sauvegarde;FRBS
LNK;51;0302855;4;4902298;;LNK;Mechelen-Nekkerspoel;LNK https://www.openstreetmap.org/?lat=51.0302855&lon=4.4902298;;;;;;;;;;;;;;;Schelle;FC
Db;52;0652455;5;2602392;;Db;Driebergen-Zeist;Db https://www.openstreetmap.org/?lat=52.0652455&lon=5.2602392;;;;;;;;;;;;;;;Boom;FMB
GMOD;51;1823493;4;4471917;;GMOD;Mortsel-Deurnesteenweg;GMOD https://www.openstreetmap.org/?lat=51.1823493&lon=4.4471917;;;;;;;;;;;;;;;Hoboken-Polder;FOE
FCV;51;1997015;4;4323348;;FCV;Antwerpen-Berchem;FCV https://www.openstreetmap.org/?lat=51.1997015&lon=4.4323348;;;;;;;;;;;;;;;Hemiksem;LKM
Hvl;52;1664319;5;4579565;;Hvl;Hoevelaken;Hvl https://www.openstreetmap.org/?lat=52.1664319&lon=5.4579565;;;;;;;;;;;;;;;Zwijndrecht;LZD
FTT;50;990425;3;3296225;;FTT;Tielt;FTT https://www.openstreetmap.org/?lat=50.990425&lon=3.3296225;;;;;;;;;;;;;;;Sauwerd;Swd
FRT;51;0647908;3;105734;;FRT;Torhout;FRT https://www.openstreetmap.org/?lat=51.0647908&lon=3.105734;;;;;;;;;;;;;;;Bedum;Bdm
0;51;0051064;4;1344534;;;;;;;;;;;;;;;;;;;Warffum;Wfm
FSI;51;0211749;4;1184422;;FSI;Sint-Gillis;FSI https://www.openstreetmap.org/?lat=51.0211749&lon=4.1184422;;;;;;;;;;;;;;;Winsum;Wsm
0;50;9747763;4;1871777;;;;;;;;;;;;;;;;;;;Usquert;Ust
0;50;9895027;4;1562605;;;;;;;;;;;;;;;;;;;Stedum;Stm
0;50;9327234;4;2164122;;;;;;;;;;;;;;;;;;;Loppersum;Lp
0;50;8893862;4;2756033;;;;;;;;;;;;;;;;;;;Delfzijl West;Dzw
GMOL;51;1695282;4;4691651;;GMOL;Mortsel-Liersesteenweg;GMOL https://www.openstreetmap.org/?lat=51.1695282&lon=4.4691651;;;;;;;;;;;;;;;Delfzijl;Dz
GMO;51;1829808;4;4486143;;GMO;Mortsel;GMO https://www.openstreetmap.org/?lat=51.1829808&lon=4.4486143;;;;;;;;;;;;;;;Roodeschool;Rd
FHF;50;9884748;4;4983144;;FHF;Hofstade;FHF https://www.openstreetmap.org/?lat=50.9884748&lon=4.4983144;;;;;;;;;;;;;;;Baflo;Bf
LOB;51;0993795;4;2400736;;LOB;Bornem;LOB https://www.openstreetmap.org/?lat=51.0993795&lon=4.2400736;;;;;;;;;;;;;;;Uithuizen;Uhz
FTS;51;126115;4;2211479;;FTS;Temse;FTS https://www.openstreetmap.org/?lat=51.126115&lon=4.2211479;;;;;;;;;;;;;;;Uithuizermeeden;Uhm
FRBS;51;0810559;4;3256858;;FRBS;Ruisbroek-Sauvegarde;FRBS https://www.openstreetmap.org/?lat=51.0810559&lon=4.3256858;;;;;;;;;;;;;;;Eemshaven;Eem
FC;51;125525;4;3402494;;FC;Schelle;FC https://www.openstreetmap.org/?lat=51.125525&lon=4.3402494;;;;;;;;;;;;;;;Hoogezand-Sappemeer;Hgz
FMB;51;0908512;4;3603723;;FMB;Boom;FMB https://www.openstreetmap.org/?lat=51.0908512&lon=4.3603723;;;;;;;;;;;;;;;Scheemda;Sda
FOE;51;1829663;4;3483745;;FOE;Hoboken-Polder;FOE https://www.openstreetmap.org/?lat=51.1829663&lon=4.3483745;;;;;;;;;;;;;;;Zuidbroek;Zb
LKM;51;1363324;4;3385038;;LKM;Hemiksem;LKM https://www.openstreetmap.org/?lat=51.1363324&lon=4.3385038;;;;;;;;;;;;;;;Veendam;Vdm
LZD;51;2141489;4;3306372;;LZD;Zwijndrecht;LZD https://www.openstreetmap.org/?lat=51.2141489&lon=4.3306372;;;;;;;;;;;;;;;Bad Nieuweschans;Nsch
0;51;2107092;4;2867883;;;;;;;;;;;;;;;;;;;Evergem;FMV
Swd;53;2915652;6;540409;;Swd;Sauwerd;Swd https://www.openstreetmap.org/?lat=53.2915652&lon=6.540409;;;;;;;;;;;;;;;Waarschoot;LWT
Bdm;53;3069316;6;5927288;;Bdm;Bedum;Bdm https://www.openstreetmap.org/?lat=53.3069316&lon=6.5927288;;;;;;;;;;;;;;;Wondelgem;FWO
Wfm;53;3901502;6;5668637;;Wfm;Warffum;Wfm https://www.openstreetmap.org/?lat=53.3901502&lon=6.5668637;;;;;;;;;;;;;;;Gentbrugge;FUGE
Wsm;53;330093;6;5203056;;Wsm;Winsum;Wsm https://www.openstreetmap.org/?lat=53.330093&lon=6.5203056;;;;;;;;;;;;;;;Dilbeek;FKB
Ust;53;4009642;6;6095178;;Ust;Usquert;Ust https://www.openstreetmap.org/?lat=53.4009642&lon=6.6095178;;;;;;;;;;;;;;;Groot-Bijgaarden;MGA
Stm;53;3263606;6;6873925;;Stm;Stedum;Stm https://www.openstreetmap.org/?lat=53.3263606&lon=6.6873925;;;;;;;;;;;;;;;Essene-Lombeek;FKS
Lp;53;3347918;6;7474514;;Lp;Loppersum;Lp https://www.openstreetmap.org/?lat=53.3347918&lon=6.7474514;;;;;;;;;;;;;;;Ternat;FTN
Dzw;53;3320112;6;9070228;;Dzw;Delfzijl West;Dzw https://www.openstreetmap.org/?lat=53.3320112&lon=6.9070228;;;;;;;;;;;;;;;Schellebelle;FCB
Dz;53;3337339;6;9237352;;Dz;Delfzijl;Dz https://www.openstreetmap.org/?lat=53.3337339&lon=6.9237352;;;;;;;;;;;;;;;Eindhoven Centraal;Ehv
Rd;53;4210157;6;7583767;;Rd;Roodeschool;Rd https://www.openstreetmap.org/?lat=53.4210157&lon=6.7583767;;;;;;;;;;;;;;;Oudenbosch;Odb
Bf;53;361054;6;5188465;;Bf;Baflo;Bf https://www.openstreetmap.org/?lat=53.361054&lon=6.5188465;;;;;;;;;;;;;;;Zevenbergen;Zvb
Uhz;53;4096293;6;6746834;;Uhz;Uithuizen;Uhz https://www.openstreetmap.org/?lat=53.4096293&lon=6.6746834;;;;;;;;;;;;;;;Maarheeze;Mz
Uhm;53;4139462;6;7202534;;Uhm;Uithuizermeeden;Uhm https://www.openstreetmap.org/?lat=53.4139462&lon=6.7202534;;;;;;;;;;;;;;;Heeze;Hze
Eem;53;4586109;6;8308031;;Eem;Eemshaven;Eem https://www.openstreetmap.org/?lat=53.4586109&lon=6.8308031;;;;;;;;;;;;;;;Lage Zwaluwe;Zlw
Hgz;53;1597953;6;7709176;;Hgz;Hoogezand-Sappemeer;Hgz https://www.openstreetmap.org/?lat=53.1597953&lon=6.7709176;;;;;;;;;;;;;;;Breda-Prinsenbeek;Bdpb
Sda;53;1654348;6;977959;;Sda;Scheemda;Sda https://www.openstreetmap.org/?lat=53.1654348&lon=6.977959;;;;;;;;;;;;;;;Oisterwijk;Ot
Zb;53;1593423;6;8667625;;Zb;Zuidbroek;Zb https://www.openstreetmap.org/?lat=53.1593423&lon=6.8667625;;;;;;;;;;;;;;;Dordrecht Zuid;Ddzd
Vdm;53;1049958;6;8862686;;Vdm;Veendam;Vdm https://www.openstreetmap.org/?lat=53.1049958&lon=6.8862686;;;;;;;;;;;;;;;Vlissingen Souburg;Vss
Nsch;53;1847702;7;2005246;;Nsch;Bad Nieuweschans;Nsch https://www.openstreetmap.org/?lat=53.1847702&lon=7.2005246;;;;;;;;;;;;;;;Middelburg;Mdb
FMV;51;1071098;3;7023144;;FMV;Evergem;FMV https://www.openstreetmap.org/?lat=51.1071098&lon=3.7023144;;;;;;;;;;;;;;;Arnemuiden;Arn
LWT;51;1544208;3;6151788;;LWT;Waarschoot;LWT https://www.openstreetmap.org/?lat=51.1544208&lon=3.6151788;;;;;;;;;;;;;;;Goes;Gs
FWO;51;0890329;3;7196081;;FWO;Wondelgem;FWO https://www.openstreetmap.org/?lat=51.0890329&lon=3.7196081;;;;;;;;;;;;;;;Kapelle-Biezelinge;Bzl
FUGE;51;0386296;3;7562885;;FUGE;Gentbrugge;FUGE https://www.openstreetmap.org/?lat=51.0386296&lon=3.7562885;;;;;;;;;;;;;;;Kruiningen-Yerseke;Krg
FKB;50;8661778;4;2448699;;FKB;Dilbeek;FKB https://www.openstreetmap.org/?lat=50.8661778&lon=4.2448699;;;;;;;;;;;;;;;Krabbendijke;Kbd
MGA;50;8683511;4;2738788;;MGA;Groot-Bijgaarden;MGA https://www.openstreetmap.org/?lat=50.8683511&lon=4.2738788;;;;;;;;;;;;;;;Rilland-Bath;Rb
FKS;50;8823913;4;1170463;;FKS;Essene-Lombeek;FKS https://www.openstreetmap.org/?lat=50.8823913&lon=4.1170463;;;;;;;;;;;;;;;Nijmegen Heyendaal;Nmh
FTN;50;8746359;4;1658889;;FTN;Ternat;FTN https://www.openstreetmap.org/?lat=50.8746359&lon=4.1658889;;;;;;;;;;;;;;;Mook Molenhoek;Mmlh
FCB;51;0031021;3;9209671;;FCB;Schellebelle;FCB https://www.openstreetmap.org/?lat=51.0031021&lon=3.9209671;;;;;;;;;;;;;;;Oss;O
Ehv;51;4429623;5;4795265;;Ehv;Eindhoven Centraal;Ehv https://www.openstreetmap.org/?lat=51.4429623&lon=5.4795265;;;;;;;;;;;;;;;Cuijk;Ck
Odb;51;5878989;4;5334608;;Odb;Oudenbosch;Odb https://www.openstreetmap.org/?lat=51.5878989&lon=4.5334608;;;;;;;;;;;;;;;Tegelen;Tg
Zvb;51;6413438;4;6100851;;Zvb;Zevenbergen;Zvb https://www.openstreetmap.org/?lat=51.6413438&lon=4.6100851;;;;;;;;;;;;;;;Reuver;Rv
Mz;51;3042309;5;6303829;;Mz;Maarheeze;Mz https://www.openstreetmap.org/?lat=51.3042309&lon=5.6303829;;;;;;;;;;;;;;;Swalmen;Sm
Hze;51;3853329;5;5694204;;Hze;Heeze;Hze https://www.openstreetmap.org/?lat=51.3853329&lon=5.5694204;;;;;;;;;;;;;;;Geleen Oost;Gln
Zlw;51;6901564;4;6637116;;Zlw;Lage Zwaluwe;Zlw https://www.openstreetmap.org/?lat=51.6901564&lon=4.6637116;;;;;;;;;;;;;;;Geleen-Lutterade;Lut
Bdpb;51;6057193;4;7214222;;Bdpb;Breda-Prinsenbeek;Bdpb https://www.openstreetmap.org/?lat=51.6057193&lon=4.7214222;;;;;;;;;;;;;;;Echt;Ec
Ot;51;5821442;5;193898;;Ot;Oisterwijk;Ot https://www.openstreetmap.org/?lat=51.5821442&lon=5.193898;;;;;;;;;;;;;;;Maastricht Noord;Mtn
Ddzd;51;79017;4;6715744;;Ddzd;Dordrecht Zuid;Ddzd https://www.openstreetmap.org/?lat=51.79017&lon=4.6715744;;;;;;;;;;;;;;;Bunde;Bde
Vss;51;4647139;3;5950865;;Vss;Vlissingen Souburg;Vss https://www.openstreetmap.org/?lat=51.4647139&lon=3.5950865;;;;;;;;;;;;;;;Houthem-Sint Gerlach;Sgl
Mdb;51;4952465;3;6181236;;Mdb;Middelburg;Mdb https://www.openstreetmap.org/?lat=51.4952465&lon=3.6181236;;;;;;;;;;;;;;;Voerendaal;Vdl
Arn;51;5015317;3;6695432;;Arn;Arnemuiden;Arn https://www.openstreetmap.org/?lat=51.5015317&lon=3.6695432;;;;;;;;;;;;;;;Klimmen-Ransdaal;Kmr
Gs;51;498193;3;8893972;;Gs;Goes;Gs https://www.openstreetmap.org/?lat=51.498193&lon=3.8893972;;;;;;;;;;;;;;;Schin op Geul;Sog
Bzl;51;4805125;3;9566104;;Bzl;Kapelle-Biezelinge;Bzl https://www.openstreetmap.org/?lat=51.4805125&lon=3.9566104;;;;;;;;;;;;;;;Brugge-Sint-Pieters;FRSP
Krg;51;4650521;4;037626;;Krg;Kruiningen-Yerseke;Krg https://www.openstreetmap.org/?lat=51.4650521&lon=4.037626;;;;;;;;;;;;;;;Lissewege;FLW
Kbd;51;4333216;4;1171144;;Kbd;Krabbendijke;Kbd https://www.openstreetmap.org/?lat=51.4333216&lon=4.1171144;;;;;;;;;;;;;;;Zeebrugge-Strand;LZS
Rb;51;4226196;4;1607921;;Rb;Rilland-Bath;Rb https://www.openstreetmap.org/?lat=51.4226196&lon=4.1607921;;;;;;;;;;;;;;;Beesd;Bsd
Nmh;51;8267778;5;8679526;;Nmh;Nijmegen Heyendaal;Nmh https://www.openstreetmap.org/?lat=51.8267778&lon=5.8679526;;;;;;;;;;;;;;;Leerdam;Ldm
Mmlh;51;7665425;5;8789752;;Mmlh;Mook Molenhoek;Mmlh https://www.openstreetmap.org/?lat=51.7665425&lon=5.8789752;;;;;;;;;;;;;;;Boven Hardinxveld;Bhdv
O;51;7652868;5;531271;;O;Oss;O https://www.openstreetmap.org/?lat=51.7652868&lon=5.531271;;;;;;;;;;;;;;;Hardinxveld Blauwe Zoom;Hbzm
Ck;51;7266248;5;8741958;;Ck;Cuijk;Ck https://www.openstreetmap.org/?lat=51.7266248&lon=5.8741958;;;;;;;;;;;;;;;Sliedrecht;Sdt
Tg;51;3392858;6;1433761;;Tg;Tegelen;Tg https://www.openstreetmap.org/?lat=51.3392858&lon=6.1433761;;;;;;;;;;;;;;;Sliedrecht Baanhoek;Sdtb
Rv;51;2829798;6;0794073;;Rv;Reuver;Rv https://www.openstreetmap.org/?lat=51.2829798&lon=6.0794073;;;;;;;;;;;;;;;Dordrecht Stadspolders;Ddrs
Sm;51;2354149;6;0315749;;Sm;Swalmen;Sm https://www.openstreetmap.org/?lat=51.2354149&lon=6.0315749;;;;;;;;;;;;;;;Ruurlo;Rl
Gln;50;9675045;5;8435398;;Gln;Geleen Oost;Gln https://www.openstreetmap.org/?lat=50.9675045&lon=5.8435398;;;;;;;;;;;;;;;Winterswijk West;Www
Lut;50;9753479;5;8244583;;Lut;Geleen-Lutterade;Lut https://www.openstreetmap.org/?lat=50.9753479&lon=5.8244583;;;;;;;;;;;;;;;Winterswijk;Ww
Ec;51;1001607;5;8788214;;Ec;Echt;Ec https://www.openstreetmap.org/?lat=51.1001607&lon=5.8788214;;;;;;;;;;;;;;;Aalten;Atn
Mtn;50;8705194;5;7175501;;Mtn;Maastricht Noord;Mtn https://www.openstreetmap.org/?lat=50.8705194&lon=5.7175501;;;;;;;;;;;;;;;Varsseveld;Vsv
Bde;50;8967761;5;7366435;;Bde;Bunde;Bde https://www.openstreetmap.org/?lat=50.8967761&lon=5.7366435;;;;;;;;;;;;;;;Terborg;Tbg
Sgl;50;8733866;5;7966263;;Sgl;Houthem-Sint Gerlach;Sgl https://www.openstreetmap.org/?lat=50.8733866&lon=5.7966263;;;;;;;;;;;;;;;Doetinchem;Dtc
Vdl;50;8868406;5;9294168;;Vdl;Voerendaal;Vdl https://www.openstreetmap.org/?lat=50.8868406&lon=5.9294168;;;;;;;;;;;;;;;Wehl;Wl
Kmr;50;8662625;5;8901666;;Kmr;Klimmen-Ransdaal;Kmr https://www.openstreetmap.org/?lat=50.8662625&lon=5.8901666;;;;;;;;;;;;;;;Didam;Did
Sog;50;8562824;5;8720575;;Sog;Schin op Geul;Sog https://www.openstreetmap.org/?lat=50.8562824&lon=5.8720575;;;;;;;;;;;;;;;Oosterbeek;Otb
FRSP;51;222983;3;2018012;;FRSP;Brugge-Sint-Pieters;FRSP https://www.openstreetmap.org/?lat=51.222983&lon=3.2018012;;;;;;;;;;;;;;;Twello;Twl
FLW;51;2946825;3;1944575;;FLW;Lissewege;FLW https://www.openstreetmap.org/?lat=51.2946825&lon=3.1944575;;;;;;;;;;;;;;;Apeldoorn Osseveld;Apdo
LZS;51;3304591;3;1841013;;LZS;Zeebrugge-Strand;LZS https://www.openstreetmap.org/?lat=51.3304591&lon=3.1841013;;;;;;;;;;;;;;;Apeldoorn De Maten;Apdm
Bsd;51;8994088;5;1958729;;Bsd;Beesd;Bsd https://www.openstreetmap.org/?lat=51.8994088&lon=5.1958729;;;;;;;;;;;;;;;Klarenbeek;Kbk
Ldm;51;8946156;5;0927911;;Ldm;Leerdam;Ldm https://www.openstreetmap.org/?lat=51.8946156&lon=5.0927911;;;;;;;;;;;;;;;Voorst-Empe;Vem
Bhdv;51;8323509;4;8785268;;Bhdv;Boven Hardinxveld;Bhdv https://www.openstreetmap.org/?lat=51.8323509&lon=4.8785268;;;;;;;;;;;;;;;Arnhem Presikhaaf;Ahpr
